Date,Srad,Tmax,Tmin,Vapr,Tdew,RHmax,RHmin,Wndsp,Rain,Etref,MorP
2024-351,8.65,11.77,-2.63,,-12.06,46.87,14.3,2.06,0.0,,M
2024-352,9.16,10.1,-4.52,,-8.99,69.18,20.48,1.15,0.0,,M
2024-353,8.15,6.91,-5.21,,-8.15,76.24,29.14,1.72,0.0,,M
2024-354,4.83,3.54,-3.53,,-9.04,62.1,38.6,1.37,0.0,,M
2024-355,8.01,9.03,-3.42,,-7.66,67.6,27.87,2.26,0.0,,M
2024-356,9.34,6.33,-3.91,,-14.7,42.94,17.03,2.27,0.0,,M
2024-357,8.17,4.63,-5.23,,-11.93,66.3,25.85,1.09,0.0,,M
2024-358,8.62,7.06,-4.31,,-9.1,66.56,25.02,1.5,0.0,,M
2024-359,5.61,7.02,-4.45,,-7.65,70.62,31.8,1.89,0.0,,M
2024-360,5.97,11.76,-2.66,,-6.04,72.38,21.2,2.47,0.0,,M
2024-361,8.54,6.3,-0.78,,-9.1,60.75,26.65,2.91,0.0,,M
2024-362,6.69,13.94,-3.2,,-11.14,60.36,13.76,3.52,0.0,,M
2024-363,8.87,9.03,-3.34,,-13.84,60.36,13.56,2.91,0.0,,M
2024-364,6.64,9.35,-5.27,,-12.59,52.08,18.88,3.1,0.0,,M
2024-365,6.71,13.26,0.83,,-11.05,36.87,16.76,2.79,0.0,,M
2024-366,9.17,11.74,-3.94,,-8.89,62.41,19.11,0.79,0.0,,M
2025-001,8.62,9.9,-3.03,,-6.38,71.48,30.45,1.73,0.0,,M
2025-002,5.37,7.11,-3.11,,-6.3,72.12,36.44,1.18,0.0,,M
2025-003,7.73,7.1,-5.91,,-6.62,86.81,31.88,0.95,0.0,,M
2025-004,4.44,8.51,-2.61,,-5.95,72.6,34.64,2.9,0.0,,M
2025-005,8.22,13.67,-1.15,,-7.94,56.36,18.39,2.33,0.0,,M
2025-006,9.14,9.43,-1.54,,-12.01,43.5,18.79,1.86,0.0,,M
