pre,rhu_avg,ssh,tem_avg,tem_max,tem_min,vap_avg,win_s_max,win_s_2mi_avg,wind,radiation,gst_avg_5cm,gst_avg_10cm,gst_avg_20cm,gst_avg_40cm,dpt_avg,rhu_min,rhu_max,wind_describe,wins_scale,nrd,datetime
0.0,63.16,3.57,20.61,25.35,17.27,15.03,4.6,2.28,72.52,20.86,20.86,20.44,19.45,16.97,13.35,37.89,69.47,东风,2.0,16.06,2024-04-16
0.0,60.17,10.61,20.75,28.05,14.09,14.26,3.91,1.71,110.78,23.1,21.67,20.91,19.51,17.16,12.74,36.1,66.19,东风,2.0,17.79,2024-04-17
0.0,66.22,10.33,20.86,28.55,13.84,15.71,5.38,2.34,76.52,25.33,22.64,21.89,20.28,17.42,14.32,39.73,72.84,东风,2.0,19.5,2024-04-18
0.43,76.03,0.0,18.39,22.57,17.19,16.02,4.62,1.86,103.6,8.08,19.38,19.71,19.68,17.63,14.09,45.62,83.64,东风,2.0,6.22,2024-04-19
0.0,73.73,8.03,19.06,25.75,13.38,15.36,5.15,1.99,151.67,23.45,21.52,20.6,19.22,17.25,14.26,44.24,81.11,东南风,2.0,18.06,2024-04-20
0.0,62.1,9.97,20.73,26.15,14.62,15.06,3.82,1.84,86.23,25.45,23.16,22.26,20.5,17.63,13.21,47.0,86.0,东风,2.0,19.6,2024-04-21
0.0,68.62,4.48,21.57,27.23,14.67,17.52,3.58,1.13,71.75,19.51,23.3,22.42,20.95,18.03,15.55,53.0,86.0,东风,1.0,15.02,2024-04-22
20.12,49.62,11.87,19.25,24.92,15.31,10.38,9.77,4.08,23.46,29.69,20.34,20.56,20.28,18.24,8.45,25.0,94.0,东北风,3.0,22.86,2024-04-23
0.0,52.94,9.75,19.11,27.49,10.57,11.24,3.65,1.58,224.32,28.42,20.26,19.75,19.15,17.97,9.28,30.0,69.0,西南风,2.0,21.88,2024-04-24
0.0,59.23,11.75,22.71,31.71,14.69,15.95,4.22,2.03,27.27,23.8,23.01,22.13,20.47,18.38,14.34,31.0,85.0,东北风,2.0,18.33,2024-04-25
0.0,64.67,11.46,24.08,32.11,16.68,18.72,3.54,1.57,4.94,28.16,25.23,24.07,21.92,19.18,17.0,41.0,89.0,北风,2.0,21.68,2024-04-26
0.0,63.15,9.68,24.25,30.08,18.84,18.73,5.11,2.77,91.44,26.16,25.42,24.55,22.84,20.0,16.79,41.0,83.0,东风,2.0,20.14,2024-04-27
0.0,67.89,5.23,21.19,25.44,19.17,17.03,6.87,4.05,107.1,22.82,24.02,23.65,22.68,20.26,15.02,53.0,82.0,东风,3.0,17.57,2024-04-28
0.0,66.97,0.39,16.6,19.69,15.28,12.71,4.71,2.22,108.27,10.8,19.94,20.58,20.97,19.82,10.44,58.0,74.0,东风,2.0,8.32,2024-04-29
2.74,69.17,2.42,15.88,21.07,12.15,12.07,3.28,1.34,115.37,15.95,19.54,19.77,19.62,18.87,10.23,42.0,95.0,东南风,1.0,12.28,2024-04-30
0.0,62.0,11.75,17.52,25.33,10.04,11.47,3.95,1.98,257.79,28.84,21.44,20.78,19.8,18.47,10.15,29.0,91.0,西风,2.0,22.21,2024-05-01
0.0,54.94,11.61,18.7,25.23,10.88,11.37,5.0,2.3,131.4,28.77,22.86,22.29,21.09,18.76,9.45,32.0,91.6,东南风,2.0,22.15,2024-05-02
0.0,49.87,0.29,18.97,22.44,16.68,10.73,4.3,2.15,121.37,12.95,21.27,21.31,21.04,19.01,8.27,33.0,62.0,东南风,2.0,9.97,2024-05-03
3.31,78.03,0.12,15.87,19.7,12.8,13.92,3.79,2.32,343.41,11.33,19.28,19.49,19.66,18.57,12.04,53.0,95.0,北风,2.0,8.72,2024-05-04
0.0,72.16,2.84,18.79,24.95,14.3,15.06,3.98,1.55,110.04,17.46,21.33,20.57,19.59,18.42,13.67,44.0,93.0,东风,2.0,13.44,2024-05-05
0.0,68.55,9.41,20.46,25.98,13.03,16.15,4.67,2.03,63.6,24.06,22.93,21.92,20.49,18.71,14.47,50.0,96.0,东北风,2.0,18.53,2024-05-06
0.0,62.15,10.82,22.65,30.61,15.06,15.86,5.62,2.08,62.93,28.58,24.96,23.82,21.94,19.37,15.03,36.15,94.0,东北风,2.0,22.01,2024-05-07
0.0,58.61,8.95,22.77,28.63,15.93,15.93,3.27,,64.53,23.95,25.3,24.41,22.78,20.0,14.23,40.81,87.26,东北风,,18.44,2024-05-08
0.0,57.21,7.74,23.8,31.04,17.18,16.49,2.94,1.01,65.69,24.37,26.67,25.6,23.51,20.54,14.82,40.79,81.46,东北风,1.0,18.76,2024-05-09
0.0,57.59,11.3,25.66,32.09,18.03,18.68,4.96,2.12,103.8,26.87,27.9,26.72,24.6,21.2,16.66,39.28,80.95,东风,2.0,20.69,2024-05-10
0.48,37.28,7.99,24.63,28.42,21.81,11.4,6.6,3.27,245.76,25.28,26.95,26.53,25.05,21.9,9.07,21.67,69.11,西南风,2.0,19.47,2024-05-11
0.0,44.88,11.72,21.82,28.12,13.19,11.55,5.2,1.92,64.48,29.5,25.62,25.11,24.01,21.64,9.31,31.93,64.36,东北风,2.0,22.72,2024-05-12
0.0,52.18,11.92,24.16,32.35,15.54,15.28,4.1,1.48,76.43,29.92,27.34,26.3,24.55,21.77,13.73,29.65,76.07,东风,1.0,23.04,2024-05-13
0.0,54.08,12.25,26.43,35.44,17.59,18.02,3.95,2.14,161.36,29.47,28.8,27.68,25.6,22.36,16.38,25.02,75.29,南风,2.0,22.69,2024-05-14
0.0,32.01,11.59,22.79,29.56,19.29,8.79,12.76,5.28,89.34,27.56,28.01,27.53,26.17,23.02,5.23,20.36,59.24,东风,3.0,21.22,2024-05-15
0.0,46.42,12.22,22.8,32.16,13.5,13.03,4.89,2.21,68.55,28.02,26.83,26.14,24.98,22.72,10.7,31.81,64.64,东风,2.0,21.58,2024-05-16
0.0,53.32,12.12,27.77,37.54,18.75,19.14,5.94,2.7,54.24,28.84,29.38,28.26,26.17,23.12,17.4,29.74,75.38,东北风,2.0,22.21,2024-05-17
0.0,50.81,11.13,29.45,36.84,21.65,20.23,4.12,1.17,74.52,27.16,31.23,29.88,27.53,23.87,18.18,35.09,77.52,东风,1.0,20.91,2024-05-18
0.0,52.87,9.51,28.61,35.03,21.44,20.22,3.91,1.53,203.34,23.64,31.12,30.05,28.12,24.48,18.04,36.06,75.34,西南风,1.0,18.2,2024-05-19
0.0,60.8,9.48,25.42,29.49,22.74,19.67,6.37,3.53,139.44,21.95,29.84,29.28,27.94,24.83,17.29,48.99,72.9,东南风,3.0,16.9,2024-05-20
0.0,65.65,8.74,24.06,31.04,17.57,19.0,3.72,2.06,99.99,24.26,28.96,28.29,27.04,24.53,17.22,39.19,89.18,东风,2.0,18.68,2024-05-21
0.0,51.2,12.11,26.9,33.37,18.29,17.37,3.67,1.62,76.81,28.09,30.04,29.16,27.51,24.62,15.95,30.02,81.66,东风,2.0,21.63,2024-05-22
0.0,47.21,12.08,28.13,37.03,19.63,16.7,4.36,1.87,80.74,24.77,30.77,29.81,28.08,24.98,15.81,19.58,75.33,东风,2.0,19.07,2024-05-23
0.0,56.35,11.12,26.69,31.25,23.43,19.8,7.28,4.82,158.71,26.8,30.09,29.47,28.16,25.37,17.27,39.73,65.26,南风,3.0,20.64,2024-05-24
2.19,75.22,0.4,21.18,25.81,18.85,18.68,6.45,3.26,106.93,13.6,27.32,27.25,27.04,25.2,16.61,58.0,90.89,东风,2.0,10.47,2024-05-25
2.92,71.61,8.63,25.16,31.25,19.94,21.71,5.72,3.65,281.9,23.66,28.01,27.29,26.29,24.62,19.66,43.0,97.0,西风,3.0,18.22,2024-05-26
0.0,40.76,6.97,25.93,30.95,21.73,12.96,3.96,1.87,103.12,21.84,28.53,27.95,26.76,24.58,11.56,21.31,67.0,东风,2.0,16.82,2024-05-27
0.0,38.39,9.63,26.23,33.25,16.92,12.49,3.62,1.73,115.23,23.98,28.17,27.85,26.85,24.42,10.93,23.0,68.74,东南风,2.0,18.46,2024-05-28
0.02,38.89,0.21,25.49,29.16,22.18,12.47,4.18,2.08,112.03,11.46,27.05,27.03,26.66,24.54,10.46,28.0,55.0,东风,2.0,8.82,2024-05-29
0.08,51.41,7.24,25.81,33.4,18.96,15.89,5.28,3.23,305.92,23.23,27.7,26.86,25.82,24.11,15.02,26.0,79.0,西北风,2.0,17.89,2024-05-30
0.0,39.91,3.2,27.96,34.19,21.19,14.3,7.23,2.59,124.26,20.33,28.62,27.93,26.74,24.48,13.05,23.0,64.0,东南风,2.0,15.65,2024-05-31
0.0,35.13,3.49,27.09,31.98,21.39,12.52,5.29,2.48,102.61,17.28,28.54,27.8,26.76,24.73,10.35,28.0,42.0,东风,2.0,13.31,2024-06-01
0.08,61.72,8.54,10.25,18.11,3.06,7.19,2.74,1.53,238.64,12.54,11.87,12.03,14.18,15.87,3.23,34.82,91.22,西南风,1.0,9.66,2024-11-06
0.0,60.29,4.48,12.72,18.27,6.85,8.66,2.64,1.5,245.49,8.79,12.67,12.83,14.74,15.71,5.22,44.11,83.36,西南风,1.0,6.77,2024-11-07
0.0,57.67,1.38,14.29,17.4,12.54,9.39,4.23,3.27,246.09,7.09,12.62,12.67,15.25,15.85,6.05,48.93,64.95,西南风,2.0,5.46,2024-11-08
0.02,65.61,0.14,13.85,15.67,12.03,10.45,3.36,2.59,245.55,5.38,12.4,12.51,15.23,15.99,7.52,56.2,77.62,西南风,2.0,4.14,2024-11-09
0.0,74.86,5.86,14.63,20.66,10.12,12.23,3.65,2.16,245.81,9.81,13.94,13.88,15.45,15.96,10.22,51.0,91.87,西南风,2.0,7.55,2024-11-10
0.0,78.29,0.0,13.92,15.71,12.54,12.4,2.02,1.39,230.25,3.89,13.11,13.22,15.94,16.23,10.2,69.55,86.05,西南风,1.0,3.0,2024-11-11
2.78,90.15,0.0,13.14,15.59,11.42,13.98,3.07,2.33,247.96,4.04,12.11,12.24,15.19,16.15,11.56,82.28,93.75,西风,2.0,3.11,2024-11-12
5.17,95.02,0.0,13.68,14.72,12.85,15.56,2.82,2.41,239.67,3.21,12.46,12.51,15.32,16.15,12.9,93.55,95.34,西南风,2.0,2.47,2024-11-13
6.79,91.35,1.53,15.61,19.44,13.95,16.75,3.11,2.0,232.81,7.85,14.59,14.5,16.05,16.3,14.21,74.94,95.68,西南风,2.0,6.04,2024-11-14
0.0,91.6,0.0,14.67,15.69,13.63,15.66,2.93,1.46,245.18,3.47,13.86,13.93,16.33,16.75,13.31,86.86,93.39,西南风,1.0,2.67,2024-11-15
0.39,76.92,0.12,14.58,16.74,11.14,12.88,5.13,2.91,240.39,3.02,12.88,13.04,15.81,16.72,10.58,60.14,93.62,西南风,2.0,2.33,2024-11-16
0.16,67.28,0.0,10.52,13.33,8.5,8.4,5.06,2.11,228.93,5.67,10.37,10.56,14.18,16.13,4.71,46.99,78.88,西南风,2.0,4.37,2024-11-17
1.26,67.23,0.0,8.67,10.66,6.61,7.44,3.32,2.15,252.88,3.49,8.0,8.32,13.25,15.52,2.94,50.72,89.53,西风,2.0,2.69,2024-11-18
0.15,78.83,0.78,7.78,11.22,6.16,8.34,2.79,1.51,240.85,5.95,7.71,7.9,12.4,14.78,4.34,61.25,88.86,西南风,1.0,4.58,2024-11-19
0.0,72.16,8.54,9.49,15.78,5.63,8.3,2.95,2.21,236.27,11.97,9.53,9.72,12.19,14.39,4.73,43.38,88.38,西南风,2.0,9.22,2024-11-20
0.0,71.32,8.62,10.17,17.66,5.47,8.48,3.85,2.5,232.95,12.16,10.4,10.59,12.03,14.05,5.21,37.55,88.2,西南风,2.0,9.36,2024-11-21
0.0,73.4,2.1,8.58,14.36,3.54,8.14,3.28,1.71,239.48,8.55,9.22,9.51,11.76,13.78,4.09,47.66,92.89,西南风,2.0,6.58,2024-11-22
0.19,72.48,0.2,7.77,11.94,3.54,7.73,3.16,2.3,245.32,6.5,7.77,8.0,10.94,13.37,3.13,58.37,87.05,西南风,2.0,5.0,2024-11-23
0.88,82.95,0.0,8.92,9.53,8.17,9.48,2.36,2.07,239.35,4.39,7.87,8.03,11.25,13.2,6.18,78.21,91.63,西南风,2.0,3.38,2024-11-24
3.54,57.5,6.8,8.68,12.36,6.88,6.34,6.58,3.99,237.16,11.85,8.34,8.45,11.17,12.49,0.76,25.26,93.67,西南风,3.0,9.12,2024-11-25
0.0,32.27,9.44,5.53,10.49,0.92,2.78,6.33,3.75,245.96,12.43,6.16,6.42,9.61,11.72,-9.75,20.73,46.37,西南风,3.0,9.57,2024-11-26
0.0,25.6,9.12,7.88,12.26,3.01,2.72,7.96,5.18,247.11,11.97,6.28,6.48,8.79,11.64,-10.63,18.9,46.78,西南风,3.0,9.22,2024-11-27
0.0,22.08,9.45,9.24,13.42,6.21,2.61,8.35,4.74,239.4,11.74,7.3,7.43,9.2,11.31,-11.33,16.08,35.1,西南风,3.0,9.04,2024-11-28
0.0,32.71,9.51,9.62,18.06,4.74,3.81,4.9,3.33,243.92,11.2,7.76,7.88,9.44,11.11,-5.98,17.91,42.16,西南风,2.0,8.62,2024-11-29
0.0,39.5,7.73,9.86,17.92,5.04,4.76,3.21,2.33,235.6,8.34,8.04,8.16,10.07,11.16,-3.27,23.39,50.88,西南风,2.0,6.42,2024-11-30
0.0,41.38,9.36,9.07,18.67,3.21,4.41,4.68,2.47,239.72,12.25,8.3,8.46,9.87,11.07,-3.36,17.0,59.9,西南风,2.0,9.43,2024-12-01
0.0,43.26,8.18,7.2,11.8,2.14,4.29,4.46,2.34,239.37,11.39,7.44,7.63,9.53,10.88,-4.46,30.44,64.56,西南风,2.0,8.77,2024-12-02
0.0,57.35,8.86,4.58,11.48,-0.97,4.7,2.15,1.56,235.21,11.19,6.59,6.8,9.05,10.58,-3.12,37.78,76.0,西南风,2.0,8.62,2024-12-03
0.0,69.75,1.09,4.84,9.45,1.6,6.05,2.04,1.05,232.0,6.75,5.36,5.57,8.85,10.37,-0.22,56.7,81.85,西南风,1.0,5.2,2024-12-04
0.0,45.48,4.06,7.36,11.9,3.31,4.52,4.16,2.21,249.54,7.66,5.6,5.79,8.33,10.14,-3.65,30.18,82.71,西风,2.0,5.9,2024-12-05
0.0,45.76,8.04,6.6,13.08,0.46,4.35,3.44,2.17,242.42,11.08,6.22,6.39,8.49,10.03,-4.26,26.89,67.68,西南风,2.0,8.53,2024-12-06
0.0,47.92,7.44,4.72,10.68,-0.45,3.74,4.48,2.03,232.38,9.55,5.33,5.55,8.23,9.84,-5.37,26.8,77.67,西南风,2.0,7.35,2024-12-07
0.0,56.59,6.25,1.51,7.72,-3.3,3.8,3.91,1.88,234.99,11.0,3.47,3.74,7.19,9.35,-6.17,33.81,74.1,西南风,2.0,8.47,2024-12-08
0.0,58.68,2.28,3.64,8.88,-0.44,4.51,1.82,1.21,220.96,7.86,3.78,3.89,7.29,9.06,-3.69,37.26,74.51,西南风,1.0,6.05,2024-12-09
0.0,59.07,0.0,3.49,6.87,0.05,4.58,2.05,1.11,217.63,5.25,2.76,2.94,7.34,9.07,-3.74,42.55,72.73,西南风,1.0,4.04,2024-12-10
0.0,61.14,0.0,3.77,6.73,0.99,4.86,2.85,1.58,227.92,5.88,2.7,2.91,7.4,9.05,-3.02,40.33,81.15,西南风,2.0,4.53,2024-12-11
0.0,64.85,0.26,2.08,6.98,-2.06,4.61,3.2,1.81,230.93,6.26,1.86,2.1,6.52,8.79,-3.83,43.92,82.61,西南风,2.0,4.82,2024-12-12
0.0,26.88,6.75,3.92,6.71,1.33,2.17,5.99,4.5,253.77,10.65,2.8,3.0,6.45,8.53,-13.43,15.0,58.34,西风,3.0,8.2,2024-12-13
0.0,29.12,8.85,2.04,8.91,-2.51,2.03,4.63,3.35,252.8,12.37,2.5,2.7,5.77,8.12,-14.07,14.55,41.34,西风,3.0,9.52,2024-12-14
0.0,28.59,9.27,3.28,11.29,-2.35,2.16,4.21,3.2,246.4,11.86,3.34,3.49,5.55,7.72,-13.22,14.76,42.97,西南风,2.0,9.13,2024-12-15
0.0,31.17,9.14,3.39,11.77,-2.63,2.37,2.73,2.06,233.46,11.24,3.34,3.46,5.49,7.47,-12.06,14.3,46.87,西南风,2.0,8.65,2024-12-16
0.0,43.97,8.5,1.98,10.1,-4.52,2.9,2.43,1.15,226.77,11.89,3.16,3.32,5.4,7.27,-8.99,20.48,69.18,西南风,1.0,9.16,2024-12-17
0.0,51.62,7.48,0.66,6.91,-5.21,3.22,2.37,1.72,217.75,10.58,2.4,2.57,5.06,7.03,-8.15,29.14,76.24,西南风,2.0,8.15,2024-12-18
0.0,49.88,0.47,0.17,3.54,-3.53,3.07,2.52,1.37,226.09,6.27,0.81,1.06,4.87,6.85,-9.04,38.6,62.1,西南风,1.0,4.83,2024-12-19
0.0,50.53,7.32,1.49,9.03,-3.42,3.32,4.09,2.26,243.58,10.4,1.56,1.7,4.51,6.56,-7.66,27.87,67.6,西南风,2.0,8.01,2024-12-20
0.0,28.61,9.0,1.57,6.33,-3.91,1.97,2.96,2.27,228.97,12.13,2.09,2.25,4.59,6.53,-14.7,17.03,42.94,西南风,2.0,9.34,2024-12-21
0.0,42.45,7.04,-0.76,4.63,-5.23,2.46,1.74,1.09,223.1,10.61,0.62,0.86,4.1,6.23,-11.93,25.85,66.3,西南风,1.0,8.17,2024-12-22
0.0,48.79,6.94,0.42,7.06,-4.31,2.93,1.91,1.5,235.55,11.19,1.33,1.45,3.98,5.96,-9.1,25.02,66.56,西南风,1.0,8.62,2024-12-23
0.0,54.37,1.96,0.48,7.02,-4.45,3.39,3.33,1.89,239.25,7.28,0.52,0.69,3.93,5.86,-7.65,31.8,70.62,西南风,2.0,5.61,2024-12-24
0.0,50.58,4.0,3.23,11.76,-2.66,3.69,4.55,2.47,242.35,7.75,1.42,1.49,4.22,5.84,-6.04,21.2,72.38,西南风,2.0,5.97,2024-12-25
0.0,41.0,6.72,2.85,6.3,-0.78,3.06,3.3,2.91,218.6,11.09,2.08,2.22,4.68,6.03,-9.1,26.65,60.75,西南风,2.0,8.54,2024-12-26
0.0,37.59,3.93,1.79,13.94,-3.2,3.91,12.13,3.52,249.76,8.69,1.19,1.38,4.26,6.0,-11.14,13.76,60.36,西风,3.0,6.69,2024-12-27
0.0,30.14,9.36,1.83,9.03,-3.34,2.05,5.05,2.91,246.73,11.52,1.43,1.61,3.83,5.73,-13.84,13.56,60.36,西南风,2.0,8.87,2024-12-28
0.0,34.93,2.72,1.18,9.35,-5.27,2.27,4.86,3.1,242.44,8.62,0.57,0.76,3.4,5.42,-12.59,18.88,52.08,西南风,2.0,6.64,2024-12-29
0.0,28.74,5.21,5.7,13.26,0.83,2.65,4.49,2.79,242.78,8.72,2.36,2.36,3.88,5.39,-11.05,16.76,36.87,西南风,2.0,6.71,2024-12-30
0.0,40.93,8.78,3.1,11.74,-3.94,2.97,2.07,0.79,226.86,11.91,3.24,3.31,4.49,5.7,-8.89,19.11,62.41,西南风,1.0,9.17,2024-12-31
0.0,52.98,8.43,2.21,9.9,-3.03,3.72,2.48,1.73,235.55,11.2,2.92,3.02,4.38,5.61,-6.38,30.45,71.48,西南风,2.0,8.62,2025-01-01
0.0,56.7,2.44,1.34,7.11,-3.11,3.72,2.81,1.18,177.73,6.97,1.38,1.61,4.24,5.57,-6.3,36.44,72.12,南风,1.0,5.37,2025-01-02
0.0,62.75,6.31,-0.39,7.1,-5.91,3.57,1.3,0.95,154.64,10.04,1.1,1.25,3.58,5.21,-6.62,31.88,86.81,东南风,1.0,7.73,2025-01-03
0.0,55.03,0.04,2.13,8.51,-2.61,3.8,4.11,2.9,244.0,5.76,0.59,0.71,3.51,5.11,-5.95,34.64,72.6,西南风,2.0,4.44,2025-01-04
0.0,38.38,8.23,5.07,13.67,-1.15,3.24,3.74,2.33,257.8,10.68,2.74,2.74,4.0,5.24,-7.94,18.39,56.36,西风,2.0,8.22,2025-01-05
0.0,29.68,9.09,4.14,9.43,-1.54,2.32,3.43,1.86,181.45,11.87,3.3,3.38,4.56,5.5,-12.01,18.79,43.5,南风,2.0,9.14,2025-01-06
0.0,40.2,9.24,2.32,11.13,-3.55,2.68,4.47,2.38,211.91,11.87,2.75,2.9,4.27,5.38,-9.83,15.72,60.53,西南风,2.0,9.14,2025-01-07
0.0,38.03,9.17,1.82,6.9,-3.56,2.64,3.93,2.43,176.59,11.92,2.46,2.57,4.16,5.3,-10.97,25.91,53.15,南风,2.0,9.18,2025-01-08
0.0,42.75,8.82,-0.65,5.25,-5.85,2.46,2.54,1.47,88.41,11.76,1.13,1.33,3.66,5.11,-11.74,23.66,61.46,东风,1.0,9.06,2025-01-09
0.0,46.15,6.46,-0.61,7.13,-6.79,2.58,4.43,2.21,209.47,11.16,0.49,0.66,3.04,4.75,-10.75,24.25,67.5,西南风,2.0,8.59,2025-01-10
0.0,35.64,7.08,3.2,10.34,-2.63,2.62,3.09,2.15,280.59,10.83,1.94,1.95,3.2,4.59,-10.56,20.29,49.11,西风,2.0,8.34,2025-01-11
0.0,33.03,9.3,3.43,9.22,-0.58,2.59,3.81,2.14,232.56,12.12,2.76,2.83,3.83,4.82,-11.31,17.87,43.86,西南风,2.0,9.33,2025-01-12
0.0,43.45,8.68,3.04,13.65,-3.44,3.06,3.74,2.12,224.97,11.38,2.8,2.84,3.89,4.82,-8.18,17.92,60.76,西南风,2.0,8.76,2025-01-13
0.0,34.89,8.24,4.24,10.8,-1.18,2.77,6.49,3.22,246.84,11.32,3.13,3.18,4.46,5.03,-9.9,9.38,59.48,西南风,2.0,8.72,2025-01-14
0.0,22.56,7.77,0.64,6.31,-5.06,1.44,4.97,2.97,223.47,12.84,1.65,1.85,3.85,4.94,-18.32,11.74,35.39,西南风,2.0,9.89,2025-01-15
0.0,20.78,9.53,3.08,12.02,-2.48,1.51,5.36,3.31,238.79,13.33,2.31,2.37,3.41,4.7,-17.24,9.62,32.55,西南风,2.0,10.26,2025-01-16
0.0,36.77,7.76,1.39,10.95,-6.3,2.3,2.17,0.98,196.81,13.01,2.54,2.58,3.58,4.61,-11.78,15.84,60.73,南风,1.0,10.02,2025-01-17
0.0,36.76,8.92,5.13,15.33,-1.2,2.98,5.5,3.17,246.01,12.07,3.72,3.72,4.22,4.77,-8.44,16.55,55.46,西南风,2.0,9.29,2025-01-18
0.0,30.74,9.22,5.47,14.99,0.29,2.85,3.15,2.6,206.5,8.85,3.13,3.13,0.0,0.0,-10.41,16.69,41.31,西南风,2.0,6.81,2025-01-19
0.0,41.89,8.81,4.88,15.24,-3.13,3.38,2.69,1.45,181.03,12.2,4.87,4.92,5.42,5.53,-6.99,18.15,68.54,南风,1.0,9.39,2025-01-20
0.0,54.89,2.4,5.09,11.78,-2.43,6.98,5.24,1.91,145.93,8.59,3.78,3.82,5.1,5.53,-3.23,29.12,100.0,东南风,2.0,6.61,2025-01-21
0.0,47.23,2.79,5.13,10.56,0.98,4.01,3.05,1.86,146.92,10.59,3.93,3.96,5.49,5.64,-5.19,30.69,61.98,东南风,2.0,8.15,2025-01-22
1.07,61.47,0.0,1.28,4.59,-1.97,4.2,2.23,1.36,154.36,4.02,1.06,1.3,5.03,5.78,-5.3,40.86,90.69,东南风,1.0,3.1,2025-01-23
7.22,92.83,0.0,0.69,1.47,-0.22,6.38,1.69,0.76,236.22,3.54,0.31,0.52,4.24,5.49,-0.34,82.18,94.83,西南风,1.0,2.73,2025-01-24
6.16,94.75,0.0,0.93,1.45,0.42,6.55,2.79,2.24,259.15,4.07,0.48,0.61,3.91,5.36,0.18,92.07,95.1,西风,2.0,3.13,2025-01-25
0.77,46.5,8.62,2.3,4.16,-0.35,3.4,7.63,5.36,287.21,14.81,0.62,0.67,3.98,5.24,-7.99,21.2,94.94,西风,3.0,11.4,2025-01-26
0.0,30.12,9.81,-1.11,3.78,-5.37,1.66,6.1,3.62,275.91,14.73,0.17,0.41,3.3,4.85,-16.42,19.21,43.99,西风,3.0,11.34,2025-01-27
0.0,40.31,9.78,-0.49,6.23,-5.71,2.28,5.42,3.33,248.06,14.53,0.65,0.85,2.77,4.34,-12.33,20.64,59.7,西风,2.0,11.19,2025-01-28
0.0,55.06,7.65,0.7,8.18,-5.63,3.25,2.69,1.23,195.81,13.59,1.6,1.71,2.87,4.14,-7.29,26.61,81.64,南风,1.0,10.46,2025-01-29
0.0,62.01,3.39,1.24,5.53,-2.85,4.14,2.91,1.8,136.61,11.26,1.74,1.85,3.36,4.22,-5.23,41.78,85.52,东南风,2.0,8.67,2025-01-30
0.09,66.06,0.23,0.18,2.52,-1.33,4.13,2.88,2.01,100.68,7.78,0.64,0.73,3.4,4.29,-5.41,58.3,74.21,东风,2.0,5.99,2025-01-31
4.88,73.65,0.0,0.62,7.79,-2.67,8.86,12.61,1.53,148.94,5.02,0.24,0.4,3.21,4.39,-3.53,58.99,86.1,东南风,1.0,3.87,2025-02-01
0.0,71.89,0.35,2.7,8.8,-1.46,5.38,3.81,2.83,219.34,7.12,0.36,0.39,3.43,4.38,-1.85,50.62,82.65,西南风,2.0,5.48,2025-02-02
0.0,52.41,9.96,3.59,10.65,-2.27,3.46,4.88,2.79,250.88,14.51,2.69,2.67,4.06,4.61,-5.24,15.61,91.92,西风,2.0,11.17,2025-02-03
0.0,41.7,9.81,3.12,11.84,-3.66,2.95,4.85,2.3,257.66,14.51,3.47,3.49,4.24,4.78,-8.64,16.52,69.01,西风,2.0,11.17,2025-02-04
0.0,24.14,9.38,4.21,8.09,0.98,1.92,6.21,2.48,306.05,14.67,3.74,3.79,4.59,4.82,-14.48,11.02,47.1,西北风,2.0,11.3,2025-02-05
0.0,34.65,1.29,2.2,8.87,-2.6,2.41,5.9,3.5,260.45,7.6,1.39,1.54,4.0,4.72,-11.79,12.68,55.91,西风,3.0,5.85,2025-02-06
0.0,13.79,9.85,-0.38,6.35,-5.0,0.73,7.14,3.4,304.35,15.28,1.54,1.64,3.78,4.51,-24.77,5.64,25.23,西北风,3.0,11.77,2025-02-07
0.0,20.38,9.87,-2.8,3.63,-7.38,1.0,3.02,1.91,229.24,15.6,0.33,0.54,3.19,4.19,-22.4,9.95,39.27,西南风,2.0,12.01,2025-02-08
0.0,34.73,8.63,-1.87,5.91,-8.75,1.68,2.43,0.8,150.86,14.43,0.62,0.72,2.96,3.85,-15.37,16.77,56.16,东南风,1.0,11.11,2025-02-09
0.0,46.8,8.85,1.5,10.46,-5.48,2.8,3.18,1.56,201.25,14.69,2.3,2.24,3.27,3.85,-8.64,23.75,66.38,南风,2.0,11.31,2025-02-10
0.0,56.15,0.0,1.72,5.58,-2.86,3.89,2.6,,164.84,4.02,0.65,0.82,3.78,4.16,-6.08,40.21,68.54,南风,,3.1,2025-02-11
0.03,30.89,3.95,4.81,9.4,0.5,2.41,6.73,3.18,283.46,4.61,1.12,1.1,3.82,4.19,-10.93,8.02,67.2,西风,2.0,3.55,2025-02-12
0.0,28.03,9.04,3.03,12.11,-3.46,2.09,4.57,2.35,230.16,15.64,3.32,3.3,4.03,4.4,-13.68,10.71,41.95,西南风,2.0,12.04,2025-02-13
0.0,31.42,6.12,5.86,15.61,-0.96,2.64,3.96,2.0,229.56,15.29,4.95,4.87,4.75,4.61,-9.79,8.59,52.96,西南风,2.0,11.77,2025-02-14
0.0,26.49,8.75,8.6,17.63,1.52,2.81,5.05,3.22,245.29,15.68,6.6,6.51,5.89,5.14,-9.58,9.52,42.03,西南风,2.0,12.07,2025-02-15
0.0,23.22,9.92,9.16,16.21,3.21,2.64,4.25,2.36,264.33,15.88,7.7,7.66,6.65,5.67,-10.77,13.57,32.52,西风,2.0,12.23,2025-02-16
0.0,32.23,4.13,7.65,12.35,2.92,3.25,5.24,3.06,73.34,13.03,6.79,6.76,7.17,6.15,-7.9,22.55,39.63,东风,2.0,10.03,2025-02-17
