Date,time_step_counter,season_counter,dap,gdd,gdd_cum,z_root,canopy_cover,canopy_cover_ns,biomass,biomass_ns,harvest_index,harvest_index_adj,DryYield,FreshYield,YieldPot
2026-01-31,122.0,0.0,109.0,3.78,745.1299999999998,0.6959914586582759,0.9126839277655004,0.9126839277655004,228.90389154411204,232.4819326734989,0.0,0.0,0.0,0.0,0.0
2026-02-01,123.0,0.0,110.0,3.375,748.5049999999998,0.6959914586582759,0.9142823567462177,0.9142823567462177,230.74471674233556,234.32275787172242,0.0,0.0,0.0,0.0,0.0
2026-02-02,124.0,0.0,111.0,2.02,750.5249999999997,0.6959914586582759,0.9157945309177082,0.9157945309177082,231.49898062431717,235.07702175370403,0.0,0.0,0.0,0.0,0.0
2026-02-03,125.0,0.0,112.0,2.8549999999999995,753.3799999999998,0.6959914586582759,0.9172239313177203,0.9172239313177203,232.84657858430512,236.42461971369198,0.0,0.0,0.0,0.0,0.0
2026-02-04,126.0,0.0,113.0,2.95,756.3299999999998,0.6959914586582759,0.9185738220080569,0.9185738220080569,234.27810497056768,237.85614609995454,0.0,0.0,0.0,0.0,0.0
2026-02-05,127.0,0.0,114.0,3.78,760.1099999999998,0.6959914586582759,0.919847255617052,0.919847255617052,236.5952958104159,240.17333693980277,0.0,0.0,0.0,0.0,0.0
2026-02-06,128.0,0.0,115.0,4.37,764.4799999999998,0.6959914586582759,0.9210470780586909,0.9210470780586909,239.74355693984714,243.321598069234,0.0,0.0,0.0,0.0,0.0
2026-02-07,129.0,0.0,116.0,3.28,767.7599999999998,0.6959914586582759,0.9221759323924134,0.9221759323924134,241.49454935759078,245.07259048697765,0.0,0.0,0.0,0.0,0.0
2026-02-08,130.0,0.0,117.0,2.4850000000000003,770.2449999999998,0.6959914586582759,0.9232362617777714,0.9232362617777714,242.55580320031697,246.13384432970383,0.0,0.0,0.0,0.0,0.0
2026-02-09,131.0,0.0,118.0,3.0100000000000007,773.2549999999998,0.6959914586582759,0.9242303114667287,0.9242303114667287,244.0469370671362,247.62497819652307,0.0,0.0,0.0,0.0,0.0
2026-02-10,132.0,0.0,119.0,4.445,777.6999999999998,0.6959914586582759,0.9251601297631677,0.9251601297631677,247.32249092468624,250.9005320540731,0.0,0.0,0.0,0.0,0.0
2026-02-11,133.0,0.0,120.0,5.45,783.1499999999999,0.6959914586582759,0.9260275678637498,0.9260275678637498,252.48064885549493,256.05868998488177,0.0,0.0,0.0,0.0,0.0
2026-02-12,134.0,0.0,121.0,6.9799999999999995,790.1299999999999,0.6959914586582759,0.9268342784761943,0.9268342784761943,261.3104204460631,264.8884615754499,0.0,0.0,0.0,0.0,0.0
2026-02-13,135.0,0.0,122.0,6.68,796.8099999999998,0.6959914586582759,0.9275817130897522,0.9275817130897522,269.3827739448341,272.96081507422093,0.0,0.0,0.0,0.0,0.0
2026-02-14,136.0,0.0,123.0,7.48,804.2899999999998,0.6959914586582759,0.9282711177474876,0.9282711177474876,279.48743180276784,283.06547293215465,0.0,0.0,0.0,0.0,0.0
2026-02-15,137.0,0.0,124.0,6.275,810.5649999999998,0.6959914586582759,0.9289035271400936,0.9289035271400936,286.55690658385953,290.13494771324633,0.0,0.0,0.0,0.0,0.0
2026-02-16,138.0,0.0,125.0,5.989999999999999,816.5549999999998,0.6959914586582759,0.9294788760095752,0.9294788760095752,292.9349214850556,296.52105682378533,0.0,0.0,0.0,0.0,0.0
2026-02-17,139.0,0.0,126.0,5.48,822.0349999999999,0.6959914586582759,0.929996241819382,0.929996241819382,298.1574732431817,301.75688850131934,0.0,0.0,0.0,0.0,0.0
2026-02-18,140.0,0.0,127.0,7.765,829.7999999999998,0.6959914586582759,0.9304557854465766,0.9304557854465766,308.9409722651333,312.58159077860586,0.0,0.0,0.0,0.0,0.0
2026-02-19,141.0,0.0,128.0,7.640000000000001,837.4399999999998,0.6959914586582759,0.930853463610278,0.930853463610278,319.4078789627506,323.10191317736775,0.0,0.0,0.0,0.0,0.0
2026-02-20,142.0,0.0,129.0,6.0,843.4399999999998,0.6959914586582759,0.9311912718134683,0.9311912718134683,325.7840500897531,329.5188254820757,0.0,0.0,0.0,0.0,0.0
2026-02-21,143.0,0.0,130.0,6.01,849.4499999999998,0.6959914586582759,0.9314770203037577,0.9314770203037577,332.17675463387,335.9606241048094,0.0,0.0,0.0,0.0,0.0
2026-02-22,144.0,0.0,131.0,4.994999999999999,854.4449999999998,0.6959914586582759,0.9317060192309062,0.9317060192309062,336.3957102617582,340.2174379512215,0.01404056962484646,0.003340179553314026,0.011236220732388742,0.012484689702654157,0.04776846625141006
2026-02-23,145.0,0.0,132.0,4.109999999999999,858.5549999999998,0.6959914586582759,0.9318785995509923,0.9318785995509923,339.1479149874184,342.99790879994276,0.015710977166748165,0.0033402035398835098,0.011328230661850866,0.012586922957612073,0.0538883231339827
2026-02-24,146.0,0.0,133.0,4.325,862.8799999999999,0.6959914586582759,0.932001735735732,0.932001735735732,342.2133221343478,346.0987843917422,0.017572618608435238,0.0033400155377978575,0.01142997813170145,0.0126999757018905,0.06081861938959144
2026-02-25,147.0,0.0,134.0,6.21,869.0899999999999,0.6959914586582759,0.932001735735732,0.932001735735732,349.0502154924784,353.02368713224485,0.019645517686316245,0.004362100765869991,0.015225922123268254,0.016917691248075836,0.06935333089245088
2026-02-26,148.0,0.0,135.0,7.1499999999999995,876.2399999999999,0.6959914586582759,0.932001735735732,0.932001735735732,358.21387193736825,362.18734357713464,0.021951332371107957,0.0067860150555616875,0.02430844728078027,0.027009385867533632,0.07950494759470356
2026-02-27,149.0,0.0,136.0,7.415,883.6549999999999,0.6959914586582759,0.932001735735732,0.932001735735732,368.0277607415688,372.00123238133517,0.024513371842556576,0.007153570285581331,0.02632712453509922,0.02925236059455469,0.09119004535252967
2026-02-28,150.0,0.0,137.0,9.42,893.0749999999998,0.6959914586582759,0.932001735735732,0.932001735735732,382.10027001125485,386.07374165102124,0.02735657939496827,0.027412135760066406,0.10474184475506548,0.11637982750562831,0.10561656965788631
2026-03-01,151.0,0.0,138.0,9.62,902.6949999999998,0.6959914586582759,0.932001735735732,0.932001735735732,396.4746720739784,400.4481437137448,0.03050747176953121,0.030569427038696213,0.12120003560656491,0.13466670622951657,0.12216660439508248
2026-03-02,152.0,0.0,139.0,8.875,911.5699999999998,0.6959914586582759,0.932001735735732,0.932001735735732,409.5325125016617,413.5059841414281,0.03399402415355875,0.034063059992790065,0.1394993054234215,0.1549992282482461,0.14056732412544784
2026-03-03,153.0,0.0,140.0,8.925,920.4949999999998,0.6959914586582759,0.932001735735732,0.932001735735732,422.66951684625343,426.6429884860198,0.03784548899568894,0.03792234647752559,0.1602861986333196,0.178095776259244,0.16146512525835505
2026-03-04,154.0,0.0,141.0,10.385000000000002,930.8799999999998,0.6959914586582759,0.932001735735732,0.932001735735732,438.01847846842156,441.99195010818795,0.0420921360185449,0.042177617687968696,0.18474575925106831,0.20527306583452035,0.18604385283055755
2026-03-05,155.0,0.0,142.0,10.08,940.9599999999998,0.6959914586582759,0.932001735735732,0.932001735735732,452.9721120456565,456.9455836854229,0.04676490057118081,0.04685987179738565,0.2122621509825047,0.2358468344250052,0.21369014787488982
2026-03-06,156.0,0.0,143.0,10.17,951.1299999999998,0.6959914586582759,0.932001735735732,0.932001735735732,468.0215737430164,471.9950453827828,0.05189492800325866,0.05200031740612458,0.24337270387550794,0.27041411541723104,0.24494148898034315
2026-03-07,157.0,0.0,144.0,10.46,961.5899999999998,0.6959914586582759,0.932001735735732,0.932001735735732,483.39608971181787,487.36956135158425,0.05751300335000308,0.0576298020683615,0.2785802097071198,0.3095335663412442,0.280300872147032
2026-03-08,158.0,0.0,145.0,10.78,972.3699999999998,0.6959914586582759,0.932001735735732,0.932001735735732,499.0862668211727,503.0597384609391,0.0636488586006587,0.06377811815374258,0.3183078289423105,0.3536753654914561,0.3201917816098466
2026-03-09,159.0,0.0,146.0,12.65,985.0199999999998,0.6959914586582759,0.932001735735732,0.932001735735732,515.9964628736109,519.9699345133772,0.07033035448137945,0.07039074686137742,0.36321376399502475,0.4035708488833608,0.3656966981398548
2026-03-10,160.0,0.0,147.0,12.95,997.9699999999998,0.6959914586582759,0.932001735735732,0.932001735735732,533.000527945877,536.9739995856434,0.07758254025518395,0.07765394619296061,0.41389594317928735,0.4598843813103193,0.41659806938840305
2026-03-11,161.0,0.0,148.0,14.32,1012.2899999999998,0.6959914586582759,0.932001735735732,0.932001735735732,550.6310676281709,554.6045392679372,0.08542660364210837,0.08550997219069942,0.4708444728022002,0.523160525335778,0.473779821541562
2026-03-12,162.0,0.0,149.0,12.445,1024.735,0.6959914586582759,0.932001735735732,0.932001735735732,567.3857681643873,571.3592398041536,0.09382178228802096,0.09391805680755103,0.5328776880625891,0.5920863200695434,0.5360594220515446
2026-03-13,163.0,0.0,150.0,12.110000000000001,1036.8449999999998,0.6959914586582759,0.932001735735732,0.932001735735732,583.9528859522114,587.9263575919778,0.10221696093393354,0.10232651807433393,0.5975386553894843,0.6639318393216491,0.6009604552600903
2026-03-14,164.0,0.0,151.0,13.885000000000002,1050.7299999999998,0.6959914586582759,0.932001735735732,0.932001735735732,601.1372851613808,605.1107568011471,0.11061213957984613,0.11073530686279626,0.6656712173901376,0.7396346859890417,0.669325954925548
2026-03-15,165.0,0.0,152.0,14.68,1065.4099999999999,0.6959914586582759,0.932001735735732,0.932001735735732,618.6753776101557,622.648849249922,0.11900731822575872,0.11914438223272807,0.7371169566796176,0.8190188407551307,0.7409976974558793
2026-03-16,166.0,0.0,153.0,11.115,1076.5249999999999,0.6959914586582759,0.932001735735732,0.932001735735732,634.504419339354,638.4778909791203,0.12740249687167132,0.12755370979435304,0.8093339256764643,0.8992599174182937,0.8134367750809868
2026-03-17,167.0,0.0,154.0,9.885,1086.4099999999999,0.6959914586582759,0.932001735735732,0.932001735735732,648.9648802455966,652.938351885363,0.1357976755175839,0.13596326044862966,0.8823538103484582,0.9803931226093979,0.8866751044231453
2026-03-18,168.0,0.0,155.0,10.01,1096.4199999999998,0.6959914586582759,0.932001735735732,0.932001735735732,663.5746936300945,667.5481652698609,0.14419285416349648,0.14437300940748543,0.958022754860269,1.064469727622521,0.9625567524186669
2026-03-19,169.0,0.0,156.0,9.965,1106.3849999999998,0.6959914586582759,0.932001735735732,0.932001735735732,678.1055038009125,682.0789754406788,0.15258803280940908,0.1527829354240013,1.0360294939787467,1.1511438821986073,1.0407708908315043
2026-03-20,170.0,0.0,157.0,10.43,1116.8149999999998,0.6959914586582759,0.932001735735732,0.932001735735732,693.186114751282,697.1595863910484,0.16098321145532166,0.16119302018186749,1.1173676338489371,1.2415195931654857,1.1223098911409473
2026-03-21,171.0,0.0,158.0,12.36,1129.1749999999997,0.6959914586582759,0.932001735735732,0.932001735735732,709.7037431378047,713.6772147775711,0.16937839010123423,0.16960324780694905,1.203680598169204,1.3374228868546711,1.2088149769095775
2026-03-22,172.0,0.0,159.0,13.424999999999999,1142.5999999999997,0.6959914586582759,0.932001735735732,0.932001735735732,726.5909197150963,730.5643913548627,0.17777356874714684,0.1779602976284384,1.2930433632661935,1.4367148480735483,1.2987503905074116
2026-03-23,173.0,0.0,160.0,14.809999999999999,1157.4099999999996,0.6959914586582759,0.932001735735732,0.932001735735732,743.9441176968334,747.9175893365997,0.18616874739305941,0.18636999838274554,1.3864886401201189,1.5405429334667986,1.3923888076003137
2026-03-24,174.0,0.0,161.0,13.785,1171.1949999999997,0.6959914586582759,0.932001735735732,0.932001735735732,760.8792600052188,764.8527316449852,0.194563926038972,0.1947798522892823,1.4820394987379495,1.6467105541532772,1.4881275031048058
2026-03-25,175.0,0.0,162.0,14.985,1186.1799999999996,0.6959914586582759,0.932001735735732,0.932001735735732,778.1862343701963,782.1597060099626,0.2029591046848846,0.20318984583461674,1.5811954099230112,1.7568837888033457,1.5874643365237457
2026-03-26,176.0,0.0,163.0,14.1,1200.2799999999995,0.6959914586582759,0.932001735735732,0.932001735735732,795.4700969267941,799.4435685665604,0.2113542833307972,0.211599967049709,1.6832144629873844,1.8702382922082048,1.689658224978004
